certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category
237.,"Soseaua PANDURI
 (corp A, UNIVERSITATEA BUCUREŞTI – Facultatea de Chimie)",90,5,1862 - 1926,Ds+P+1E+Ma,0,3.830,2015,Constantin FIRŢEA,Încadrare în clasă de risc seismic în anul 2015,Rs1
238.,"Strada PARIS
 (corp principal + corp secundar)",7,1,1930,"Sp+Ds+P+2E
 S+P+3E",,"910
 197",2014,Mihai URSĂCHESCU,,Rs1
239.,"Strada PĂRINTELE STĂNILOAIE
 (fostă Strada CERNICA)",2,2,1921,S+P; S+P+1E,4,803,1993,Mircea CONDRUT,,Rs1
240.,Strada PATRAŞCU VODĂ,5,3,1850,S+P+1E+Mz+Pd,4,530,1993,Laurenţiu SPOIALA,,Rs1
241.,Strada PATRAŞCU VODĂ,7,3,1889,S+P+2E,3,420,1995,Adina SIMION,,Rs1
242.,Strada PATRAŞCU VODĂ,8,3,1890,S+P+2E+Pod,4,296,1993,Laurenţiu SPOIALA,,Rs1
243.,Strada PITAR MOŞ,27,1,1936,P+6E+Ma,26,2.722,1997,Dan CAPATINA,,Rs1
244.,Strada PITAR MOŞ,29,1,1936,P+6E+Ma,59,4.639,1997,Dan CAPATINA,,Rs1
245.,Strada PLANTELOR,47,2,1926,S+P+1E+Ma,5,749,1997,Nicolae CONSTANTINESCU,,Rs1
246.,Strada PLANTELOR (corp A),45,2,1895,S+P+1E+Ma,3,467,1993,Mihai URSACHESCU,,Rs1
247.,Calea PLEVNEI,1,5,1930,S+P+8E,52,6.022,1993,Dragoş BADEA,,Rs1
248.,Strada POENARU BORDEA,12 - 14,4,1937,P+7E,24,2.813,1994,Alexandrina PRETORIAN,,Rs1
249.,Strada POENARU BORDEA,16,4,1936,S+P+7E,30,3.300,1996,Constantin TARHON,,Rs1
250.,Strada POIANA NARCISELOR,5,1,1929,P+6E+Ma,22,2.914,1995,Alexandrina PRETORIAN,,Rs1
251.,Strada POIANA NARCISELOR,7,1,1902,S+P+4E,17,2.120,1994,Victor NEDRITA,,Rs1
252.,Strada POLONA,70,1,1935,S+P+2E+Ma,9,1.082,1993,Armand NEFIAN,,Rs1
253.,Strada POPIŞTEANU,10,1,1938,S+P+1E,5,510,1993,Nicolae TEMELCU,,Rs1
254.,"Strada PRECUPETII VECHI
 (corp B)",51,2,1900,S+P+1E,0,0,2016,Zefir APOSTOL,Încadrare în clasă de risc seismic în anul 2016,Rs1
255.,Strada RADU CALOMFIRESCU,7,3,1933,S+P+3E,8,1.680,1995,Armand NEFIAN,,Rs1
256.,Strada RADU CALOMFIRESCU,10,3,1890,S+P+1E+Ma,11,947,1993,Laurenţiu SPOIALA,,Rs1
257.,Strada RADU CALOMFIRESCU,12,3,1890,S+P+Ma,240,19.044,1993,Laurenţiu SPOAILA,,Rs1
258.,Strada RADU CRISTIAN,2,2,1900,S+P+1E+Ma,5,950,1993,Mircea CONDRUT,,Rs1
259.,Strada RADU CRISTIAN,3,2,1899,Ds+P+2E,5,1.008,1993,Mircea CONDRUT,,Rs1
260.,Strada RADU CRISTIAN,4,2,1930,S+P+2E+Ma,10,1.247,1993,Mircea CONDRUT,,Rs1
261.,Strada RADU DE LA AFUMAŢI,27,2,1910,S+P+1E+Ma,6,610,1993,Dan STANCIULESCU,,Rs1
262.,"Strada RADU DE LA AFUMAŢI
 (corp A + B)",53,2,1915,S+P+2E; S+P+1,5,204,1993,Dan STANCIULESCU,,Rs1
263.,Calea RAHOVEI,63,4,1894,S+P+1E+Ma,27,2.010,1993,Eugeniu IORDACHESCU,,Rs1
264.,"Bulevardul REGINA ELISABETA
 (fost Bulevardul MIHAIL KOGĂLNICEANU)","24
 (6)",5,1890,S+P+3E,4,1.350,1993,Constantin NICUT,,Rs1
265.,"Bulevardul REGINA ELISABETA
 (fost Bulevardul MIHAIL KOGĂLNICEANU)","35
 (15)",5,1940,S+P+7E+Ma,17,2.440,1996,Adina SIMION,,Rs1
266.,"Bulevardul REGINA ELISABETA
 (fost Bulevardul MIHAIL KOGĂLNICEANU)","44
 (24)",5,1938,P+7E,25,3.821,1993,Dragoş BADEA,,Rs1
267.,"Bulevardul REGINA ELISABETA
 (fost Bulevardul MIHAIL KOGĂLNICEANU)","69
 (49)",5,1900,S+P+3E,12,807,1995,Adina SIMION,,Rs1
268.,"Bulevardul REGINA MARIA
 (corp A. B si C)",33 - 35,4,1900,"S+P+1E; S+P+1E;
 S+P+1E+Ma",12,1.962,1993,Alexandru BRANZEI,,Rs1
269.,Piaţa ROMANĂ,1,1,1907,S+P+1E+Ma,5,800,1999,Mariana STOENESCU,,Rs1
270.,"Piaţa ROMANĂ (“LIBRĂRIA COPIILOR”;
 tr.I: sc.A, tr.II: sc.B+C, tr.III: sc.D)",9,1,1959 - 1960,S+P+9E,156,4.645,2016,Mihai URSĂCHESCU,"Reîncadrare în clasă de risc seismic în anul 2016 (stâlpii şi bulbii de la faţada tr.I au fost investigaţi în 1996 şi au fost încadraţi în RsI de
 expertul tehnic atestat M.D.R.A.P. Dan STĂNCIULESCU)",Rs1
271.,Strada ROMULUS,28,3,1930,S+P+3E+Ma; S+P,8,801,1993,Adina SIMION,,Rs1
272.,Strada RONDĂ,10,2,1900,S+P+2E+Ma,3,597,1997,Marin TEODOR,,Rs1
273.,Strada SABINELOR,90C,5,1900,S+P+1E; S+P; S+P,8,515,1993,Dan STANCIULESCU,,Rs1
274.,Strada SAPIENŢEI,1,5,1930,S+P+5E,15,2.189,1995,Alexandrina PRETORIAN,,Rs1
275.,Strada SAPIENŢEI,1A,5,1936,S+P+3E,5,600,1993,Dan STANCIULESCU; Alexandrina PRETORIAN,,Rs1
276.,Strada SCARLAT VÂRNAV,33,6,1927,P+1E,4,291,2010,Mircea IEREMIA,,Rs1
277.,Bulevardul SCHITU MĂGUREANU,3,5,1891,S+P+4E+Ma,31,4.076,1993,Rodica VASILESCU,,Rs1
278.,Bulevardul SCHITU MĂGUREANU,19,1,1930,S+P+6E+Ma,14,2.970,1997,Niculae TUDOSE; Marius GABOR,CONSOLIDAT PARŢIAL !,Rs1
279.,"Intrarea SECTORULUI
 (apartament nr.20)",18,3,1950,P+Ma,1,56,2012,"Mircea BOLDISOR – BUTA
 Dinu CIOBOTARU",Încadrare în clasă de risc seismic în anul 2012,Rs1
280.,Strada SFÂNTA VINERI,5,3,1933,S+P+4E+Ma,12,1.762,1993,Paul VERNESCU. Mircea DABIJA,,Rs1
281.,Strada SFÂNTA VINERI,7,3,1925,S+P+2E+Ma,17,819,1993,Paul VERNESCU,,Rs1
282.,Strada SFĂNTUL CONSTANTIN,1,1,1890,S+P+1E,5,0,2014,Vasile BOGDAN,Încadrare în clasă de risc seismic în anul 2014,Rs1
283.,Strada SFĂNTUL CONSTANTIN,31,1,1939,S+P+4E,5,1.530,1994,Adina SIMION,,Rs1
284.,Strada SFINŢII APOSTOLI,35,5,1939,S+P+3E,8,875,1994,Dan GHIOCEL,,Rs1
285.,Strada SFINŢII VOIEVOZI,59,1,1880,S+P,0,355,1993,Constantin ARIENESCU,,Rs1
286.,Strada SFINŢILOR,13,2,1910,S+P+1E,5,1.248,1993,Ion VARSA,,Rs1
287.,Intrarea SLOBOZIA (corp A + B),6,4,1890; 1940,S+P; S+P+1E,1,168,1993,Rodica VASILESCU,,Rs1
288.,Strada SMÂRDAN,18,3,1940,S+P+7E,31,7.273,1994,Dan POPESCU,,Rs1
289.,Strada SMÂRDAN,26,3,1910,S+P+1E+ Pod,0,110,1993,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2014,Rs1
290.,Strada SPĂTARULUI,1,2,1935,P+6E,17,2.706,1993,Gabriel NICULESCU,,Rs1
291.,Strada SPĂTARULUI,36,2,1934,S+P+3E+Ma,11,2.131,1993,Adina SIMION,,Rs1
292.,Strada SPERANŢEI,24,2,1940,S+P+6E,11,1.600,1997,Stere CARACOTI,,Rs1
293.,"Strada STANISLAV CIHOVSCHI
 Bulevardul DACIA","1
 37",1,1930,S-P-2E-Ma,,1.896,2013,Niculae TEODOR,Încadrare în clasă de risc seismic în anul 2013,Rs1
294.,Strada STELEA SPĂTARU,17,3,1937,S+P+6E,52,4.125,1994,Marin TEODOR,,Rs1
295.,Strada ŞELARI,22,3,1900,S+P+3E+Ma,16,570,2012,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2012,Rs1
296.,Strada ŞEPCARI,10,3,1890,S+P+3E,2,403,1993,Stelian PICULESCU,,Rs1
297.,Calea ŞERBAN VODA,139,4,1934,S+P+2E,5,2.020,1997,Alexandru HRISTOFOROV,,Rs1
298.,Calea ŞERBAN VODA,180,4,1934,S+P+3E,9,977,1997,Armand NEFIAN,,Rs1
299.,Strada ŞIPOTUL FÂNTÂNILOR,5,1,1948,S+P+7E,21,1.697,1993,Aurelian PAVELESCU,,Rs1
300.,"Şoseaua ŞTEFAN CEL MARE
 (bloc 29, tronson de capăt, scara 5)",31,2,1963,S+P+9E,33,2.170,1993; 1997,Marin TEODOR,,Rs1
301.,"Şoseaua ŞTEFAN CEL MARE
 (bloc 30, tronson central)",33,2,1963,S+P+9E,169,13.759,1993,Marin TEODOR,,Rs1
302.,Strada ŞTEFAN LUCHIAN,3,2,1935,Ds+P+5E,19,2.120,1993,Marin TEODOR; Valentin GEORGESCU,,Rs1
303.,Strada ŞTEFAN LUCHIAN,12C,2,1933,S+P+4E+Ma,11,864,1993,Dan STANCIULESCU,CONSOLIDAT PARŢIAL !,Rs1
304.,Strada ŞTEFAN MIHĂILEANU,8,2,1940,S+P+2E,6,533,1993,Ion LUNGU,,Rs1
305.,Strada ŞTIRBEI VODĂ,16,1,1934,P+7E,23,4.414,1994,Mihai NAVODARIU,,Rs1
306.,Strada ŞTIRBEI VODĂ,20,1,1935,S+P+6E+Ma,33,4.250,2001,Gabriel NICULESCU,,Rs1
