certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category
180.,Calea CĂLĂRAŞILOR,33,3,1932,S+P+3E+Ma,0,0,1994,Ioan VARSA,,U1
181.,Calea CĂLĂRAŞILOR,35,3,1905,S+P+1E+Ma,0,540,1993,Vasile BERBECI,,U2
182.,Calea CĂLĂRAŞILOR,36,3,1935,S+P+3E+Ma,0,1.215,1993,Adina SIMION,,U1
183.,Calea CĂLĂRAŞILOR,53,3,1961,S+P+7E,0,2.048,1994,Adina SIMION,,U3
184.,Calea CĂLĂRAŞILOR,53A,3,1935,S+P+6E,0,1.688,1993,Dan POPESCU,,U2
185.,Calea CĂLĂRAŞILOR,57,3,1937,S+P+2E+Ma,0,640,1993,Alexandru PROGRESEANU,,U2
186.,Calea CĂLĂRAŞILOR,75,3,1940,S+P+3E,0,1.150,1993,Dan POPESCU,,U2
187.,Calea CĂLĂRAŞILOR,80,3,1910,S+P+1E,0,0,1993,Dan POPESCU,,U1
188.,Calea CĂLĂRAŞILOR,87,3,1915,S+P+2E,0,576,1993,Alexandru PROGRESEANU,,U2
189.,Calea CĂLĂRAŞILOR,90,3,1900,S+P+1E; S+P+1E+Ma,0,"260, 107",1993,Adina SIMION,,U3. U2
190.,Calea CĂLĂRAŞILOR,91,3,1912,S+P,0,228,1993,Traian POPP,,U3
191.,Calea CĂLĂRAŞILOR,105,3,1936,S+P+4E+Ma,0,1.148,1993,Dan POPESCU,,U2
192.,Calea CĂLĂRAŞILOR,111,3,1920,S+P+1E,0,269,1993,Dan POPESCU,,U2
193.,Calea CĂLĂRAŞILOR,319,3,1939,S+P+7E,0,5.080,1996,Marin TEODOR,,U2
194.,Strada CALUŞEI,4A,2,1937,S+P+3E+Pod,5,797,1993,Dan POPESCU,,U2
195.,Strada CALUŞEI,19A,2,1930,S+P+Ma,0,156,1993,Dan STANCIULESCU,,U2
196.,Strada CALUŞEI,32A,2,1934,S+P+2E,0,444,1993,Dan STANCIULESCU,,U2
197.,Strada CALUŞEI,64A,2,1901,S+P+1E,0,144,1993,Niculaie TUDOSE,,U2
198.,Strada CAMELIEI (corp C + D),8,1,1940,S+P,0,169,1993,Radu AGENT,,U3
199.,Strada CAMELIEI,35,1,1935,S+P+3E,0,1.792,1993,Constantin ARIENESCU,,U2
200.,Strada CAMELIEI,36,1,1900,S+P+1E,0,196,1993,Constantin ARIENESCU,,U2
201.,Strada CAMIL RESSU,19,3,1964,S+P+10E,176,15.145,1996,Dan POPESCU,,U3
202.,Strada CAMIL RESSU,23,3,1964,S+P+10E,176,15.145,1996,Dan POPESCU,,U3
203.,Strada CĂMINULUI,1,2,1935,S+P+2E,0,336,1993,Dan POPESCU,,U3
204.,Strada CĂMINULUI,2,2,1939,S+P+1E+Ma,0,276,1993,Dan POPESCU,,U2
205.,Strada CĂMINULUI,14 - 20,2,1960,S+P+4E,0,12.090,1995,Dan STANCIULESCU,,U3
206.,Strada CĂMINULUI,16A,2,1940,S+P+2E,0,281,1993,Adina SIMION,,U2
207.,Strada CAROL DAVILA,109,5,1935,S+P+2E,0,291,1993,Mircea NEICU,,U1
208.,Bulevardul CAROL I,6,3,1896,S+P+2E+Ma,0,960,1993,Corneliu MUDRACENCU,,U3
209.,Bulevardul CAROL I,8,3,1900,S+P+2ES+P+5E,0,0,1993,Niculaie TUDOSE,,U1
210.,Bulevardul CAROL I,10,3,1896,S+P+2E,0,0,1993,Corneliu MUDRACENCU,,U2
211.,Bulevardul CAROL I,25,2,1910,S+P+2E,0,0,1993,Ion VARSA,,U2
212.,Bulevardul CAROL I,35,2,1961,S+P+8E,0,0,1993,Niculaie TUDOSE,,U3
213.,Bulevardul CAROL I,37,2,1929,S+P+4E+Ma,0,0,1993,Mircea PERJESCU,,U2
214.,Bulevardul CAROL I,40 - 42,2,1920,S+P+2E+Ma,0,693,1993,Niculaie TUDOSE,,U1
215.,Bulevardul CAROL I,50,2,1937,S+P+5E+Ma,0,2.166,1993,Niculaie TUDOSE,,U3
216.,Bulevardul CAROL I,54,2,1920,S+P+8E,0,0,1993,Mircea NEICU,,U2
217.,Bulevardul CAROL I,57,2,1932,S+P+5E+Ma,0,2.662,1993,Niculaie TUDOSE,,U3
218.,"Bulevardul CAROL I
 (fost Bulevardul REPUBLICII)","58
 (68)",2,< 1940,S+P+4E,18,2.026,1992,Ion VARSA,,U2
219.,Bulevardul CAROL I,59,2,1912,S+P+2E+Ma,0,2.592,1993,Dan POPESCU,,U1
220.,Bulevardul CAROL I,66,2,1918,S+P+3E,0,60,1994,Emil COROIU,,U3
221.,Bulevardul CAROL I,68 - 70,2,1910,S+P+4E,0,0,1993,Ion VARSA,,U2
222.,Strada CAROL KNAPPE,78,1,1940,S+P+1E,0,336,1993,Nicolae TEMELCU,,U2
223.,Strada CASIN,10,1,1935,S+P+1E,0,208,1993,Nicolae TEMELCU,,U3
224.,Strada CAVAFII VECHI,1,3,1930; 1937,S+P+1E+Ma; S+P+3E+Ma,0,475,1994,Niculaie TUDOSE,,U3
225.,Strada CAVAFII VECHI,3,3,1930,S+P+3E,0,0,1993,Alexandru PROGRESEANU,,U1
226.,Strada CAVAFII VECHI,5,3,1920,S+P+1E,0,1.280,1993,Mihai URSACHESCU,,U3
227.,Strada CAVAFII VECHI,11,3,1885,S+P+2E,0,350,1993,Mircea MIRONESCU,,U3
228.,Strada CAVAFII VECHI,13,3,1880,S+P+1E,0,0,1993,Mircea MIRONESCU,,U2
229.,Strada CAVAFII VECHI,17,3,1926,S+P+4E,14,1.575,1993,Alexandru PROGRESEANU,,U1
230.,Strada CERCULUI,1,2,1925,S+P+2E+Ma,0,723,1993,Dan POPESCU,,U2
231.,Strada CEZAR BOLLIAC,25,3,1910,S+P,0,104,1993,Mircea CONDRUT,,U2
232.,Strada CHINDIEI,4,4,1931,S+P+2E+Ma,0,588,1996,Corneliu MUDRACENCU,,U2
233.,Strada CIPRIAN PORUMBESCU,3,1,1932,S+P+2E,3,484,1993,Stelian PICULESCU,,U2
234.,Strada CIPRIAN PORUMBESCU,6,1,1935,S+P+2E+Ma,0,625,1993,Armand NEFIAN,,U1
235.,Strada CIPRIAN PORUMBESCU,7,1,1931,S+P+1E,2,283,1993,Armand NEFIAN,,U2
236.,Strada CIPRIAN PORUMBESCU,11,1,1934,S+P+4+Ma,0,405,1993,Stelian PICULESCU,,U1
237.,Strada CIREŞOAIA,150,1,1932,S+P+1E,0,142,1993,Mircea PERJESCU,,U1
238.,Strada CIREŞULUI,35,2,1935,S+P+1E+Ma; S+P+Ma,0,"182, 155",1993,Mihai NAVODARIU,,U3. U1
239.,Strada CLUCERU UDRICANI,12,3,1885,S+P+2E+Ma,0,0,1993,Dan POPESCU,,U1
240.,Strada COLŢEI,1,3,1910,S+P+2E+Ma,0,380,1993,Mircea MIRONESCU,,U3
241.,Strada COLŢEI,2,3,1935,S+P+1E,0,160,1993,Mircea PERJESCU,,U1
242.,Strada COLŢEI,4,3,1930,S+P+2E+Ma,0,129,1993,Mircea MIRONESCU,,U3
243.,Strada COLŢEI,5,3,1930,S+P+1E+Ma,0,320,1993,Mircea PERJESCU,,U1
244.,Strada COLŢEI,7,3,1931,S+P+1E+Ma,0,848,1993,Armand NEFIAN,,U2
245.,Strada COLŢEI,9,3,1931,S+P+5E+Ma,0,876,1993,Armand NEFIAN,,U2
246.,Strada COLŢEI,15A,3,1910,S+P+1E,0,142,1993,Nicolae ALEMAN,,U3
247.,Strada COLŢEI,21,3,1896,S+P+1E+Ma,0,628,1993,Mircea MIRONESCU,,U3
248.,Strada COLŢEI,22,3,1870,S+P+1E,0,56,1993,Mircea MIRONESCU,,U3
249.,Strada COLŢEI,23,3,1967,S+P+8E,0,3.528,1994,Gabriel NICULESCU,,U3
250.,Strada COLŢEI,25,3,1933,S+P+5E,0,1.710,1994,Emil COROIU,,U2
251.,Strada COLŢEI,26,3,1890,S+P+1E+Ma,0,74,1993,Mihai URSACHESCU,,U1
252.,Strada COLŢEI,34,3,1880,S+P+2E,0,92,1993,Mircea MIRONESCU,,U2
253.,Strada COLŢEI,36,3,1900,S+P+1E+Ma,0,112,1993,Mircea POPESCU,,U1
254.,Strada COLŢEI,38,3,1900,S+P+2E,0,192,1993,Mircea MIRONESCU,,U3
255.,Strada COLŢEI,46,3,1910,S+P+2E+Ma,0,549,1993,Mircea MIRONESCU,,U3
256.,Strada COLŢEI,48,3,1907,S+P,0,88,1993,Mircea MIRONESCU,,U1
257.,Aleea COMPOZITORILOR,5,6,1972,S+P+10E,0,3.157,1995,Dan STANCIULESCU,,U3
258.,Aleea COMPOZITORILOR,11,6,1972,S+P+10E,0,3.157,1995,Dan STANCIULESCU,,U3
259.,Aleea COMPOZITORILOR,30,6,1963,S+P+9E,0,14.770,1996,Cristian BALAN,,U3
260.,Strada CONCORDIEI,5,4,1920,S+P,0,140,1993,Traian POPP,,U3
261.,Strada CONCORDIEI,11,4,1928,S+P,0,174,1993,Traian POPP,,U3
262.,Strada CONSTANTIN BĂLESCU,31,1,1930,S+P+3E,5,926,1993,Eugeniu IORDACHESCU,,U3
263.,Strada CONSTANTIN BONEA,16,5,1936,S+P+1E+Ma,0,0,1993,Dan STANCIULESCU,,U3
264.,Strada CONSTANTIN BOSIANU,10,4,1935,S+P+Mz+2E,0,2.300,1993,Traian POPP,,U3
265.,"Strada CONSTANTIN BRÂNCUSI
 (bloc D12)",3,3,1962,S+P+8E,0,5.500,1996,Alexandrina PRETORIAN,,U3
266.,"Strada CONSTANTIN BRÂNCUSI
 (bloc D13)",5,3,1962,S+P+9E,0,5.500,1996,Alexandrina PRETORIAN,,U3
267.,"Strada CONSTANTIN BRÂNCUSI
 (bloc D14)",7,3,1962,S+P+8E,0,5.500,1996,Alexandrina PRETORIAN,,U3
268.,Strada CONSTANTIN COANDĂ,27,1,1940,S+P+1E+Ma,0,578,1993,Gabriel NICULESCU,,U2
269.,Strada CONSTANTIN CRISTESCU,2,1,1935,S+P+3E+Ma,0,1.056,1994,Eugeniu IORDACHESCU,,U2
270.,Strada CONSTANTIN CRISTESCU,3,1,1938,S+P+2E+Ma,0,440,1995,Octavian MANOIU,,U2
271.,Strada CONSTANTIN DANIEL ROSENTHAL,17,1,1930,S+P+2E,0,600,1993,Gabriel NICULESCU,,U2
272.,Strada CONSTANTIN DANIEL ROSENTHAL,38,1,1935,S+P+2E,0,680,1993,Eugeniu IORDACHESCU,,U2
273.,Strada CONSTANTIN F. ROBESCU,2,3,1935,S+P+2E+Ma,0,821,1993,Voicu DORDEA,,U1
274.,Strada CONSTANTIN F. ROBESCU,6,3,1900,S+P+2E+Ma,0,761,1995,Nicolae GHITA,,U3
275.,Strada CONSTANTIN MICULESCU,20 - 22,5,1921,S+P+1E,0,222,1993,Mircea NEICU,,U2
276.,Strada CONSTANTIN MICULESCU,32,5,1908,S+P+1E,0,584,1993,Mircea NEICU,,U3
277.,Strada CONSTANTIN NACU,5,2,1937,S+Ds+P+3E,8,910,1993,Corneliu NICUT,,U3
278.,Strada CONSTANTIN SANDU ALDEA,40,1,1930,S+P+2E,0,226,1993,Eugeniu IORDACHESCU,,U3
279.,Strada CONSTANTIN STAHI,3,1,1910,S+P+2E+Ma,0,508,1994,Eugen ANTONESCU,,U3
280.,Strada CONSTANTIN STERE,25,1,1925,S+P+1E,0,304,1993,Stelian ALTENLIU,,U2
281.,Bulevardul CONSTRUCTORILOR,3,6,1961,S+P+4E,0,2.965,1993,Viorel CONSTANTINESCU,,U3
282.,Bulevardul CONSTRUCTORILOR,11,6,1961,S+P+4E,0,2.965,1996,Mircea NEICU,,U3
283.,Bulevardul CONSTRUCTORILOR,15,6,1961,S+P+4E,0,4.475,1996,Dan GHIOCEL,,U3
284.,Intrarea CALŢUNA,15,4,1900,S+P+2E,0,273,1993,Gabriel NICULESCU,,U1
285.,Intrarea CALŢUNA,17,4,1900,S+P+1E,0,513,1993,Gabriel NICULESCU,,U1
286.,Intrarea CLUCEREASA MARIA,6C,3,1905,S+P+Ma; S+P;,0,0,1993,Dan POPESCU,,U1
287.,Intrarea COSTACHE NEGRI,4,5,1933,S+P+1E+Ma,0,0,1993,Armand NEFIAN,,U1
288.,Strada CORBENI,35,2,1930,S+P+3E+Ma,0,2.306,1993,Dan POPESCU,,U2
289.,Strada CORNELIA,3,4,1936,S+P+1E,0,350,1993,Eugeniu IORDACHESCU,,U3
290.,Strada CORNELIA,5,4,1936,S+P+1E,0,350,1993,Eugeniu IORDACHESCU,,U3
291.,Strada CORNELIA,12,4,1922,S+P; S+P+1E,0,128,1993,Eugeniu IORDACHESCU,,U3
292.,Strada CORNELIA,17,4,1920,S+P,0,128,1993,Eugeniu IORDACHESCU,,U3
293.,Strada CORNELIA,19,4,1920,S+P+1E,0,285,1993,Eugeniu IORDACHESCU,,U3
294.,Strada CORNELIA,28,4,1930,S+P+1E,0,296,1993,Eugeniu IORDACHESCU,,U3
295.,Strada CORNELIA,38,4,1925,S+P+1E+Ma,0,450,1993,Eugeniu IORDACHESCU,,U3
296.,Strada COSTACHE NEGRI,13,5,1929,S+P+1E+Ma,0,750,1993,Niculaie TUDOSE,,U2
297.,Strada COSTACHE NEGRI,28,5,1930,S+P+1E+Ma,0,0,1993,Niculaie TUDOSE,,U2
298.,Strada COVACI,2,3,1897; 1879,S+P+2E; S+P+1E+Ma,0,1.512,1993,Leonid NEAGOE,,U3
299.,Strada COVACI,3,3,1859,S+P+2E,0,1.120,1993,Leonid NEAGOE,,U2
300.,Strada COVACI,4,3,1897,S+P+2E+Ma,0,807,1993,Ion VARSA,,U3
301.,Strada COVACI,5,3,1893,S+P+1E,0,828,1993,Mihai URSACHESCU,,U1
302.,Strada COVACI,8,3,1860,S+P+4E+Ma,0,876,1993,Emil COROIU,,U1
303.,Strada COVACI,13,3,1935,S+P+1E,0,428,1993,Mircea PERJESCU,,U1
304.,Strada COVACI,21,3,1920,S+P+3E,0,160,1994,Dan CAPATINA,,U3
305.,Strada COVACI,23,3,1891,S+P+2E,0,462,1993,Emil COROIU,,U1
306.,Strada COVASNA,15,4,1968,S+P+10E,0,3.297,1995,Dan STANCIULESCU,,U3
307.,Strada COVASNA,27,4,1965,S+P+10E,0,3.036,1995,Dan STANCIULESCU,,U3
308.,Strada COZLA,2A,3,1973,S+P+10E,0,2.816,1995,Dan STANCIULESCU,,U3
309.,Strada CRĂCIUN,8,1,1931,S+P+2E+Ma,0,381,1994,Armand NEFIAN,,U2
310.,Strada CRINUL DE PADURE,2,6,1965,S+P+4E,0,5.160,1995,Dan STANCIULESCU,,U2
311.,Strada CRINULUI,15,1,1965,S+P+10E,0,6.380,1995,Dan POPESCU,,U3
312.,Strada CRIŞANA,3,1,1923,S+P+2E+Ma,0,720,1993,Constantin ARIENESCU,,U2
313.,Strada CRIŞANA,35,1,1913,S+P+1E+Ma,0,445,1993,Constantin ARIENESCU,,U1
314.,Strada CRIZANTEMELOR,2,5,1970,S+P+4E,0,2.375,1993,Gabriel NICULESCU,,U3
315.,Strada CRIZANTEMELOR,4,5,1970,S+P+4E,0,2.375,1993,Gabriel NICULESCU,,U3
316.,Strada CRIZANTEMELOR,6,5,1970,S+P+4E,0,2.375,1993,Gheorghe DUMITRESCU,,U3
317.,Strada CRIZANTEMELOR,8,5,1970,S+P+4E,0,2.375,1993,Gabriel NICULESCU,,U3
318.,Strada CRIZANTEMELOR,16,5,1970,S+P+4E,0,2.375,1993,Gabriel NICULESCU,,U3
319.,Strada CRIZANTEMELOR,20,5,1970,S+P+4E,0,2.375,1993,Gheorghe DUMITRESCU,,U3
320.,Strada CULMEA VECHE,5,3,1920,S+P+3E,0,816,1993,Alexandru PROGRESEANU,,U3
321.,Strada CUŢITUL DE ARGINT,18,4,1900,S+P,0,0,1993,Cristisn BALAN,,U2
322.,Strada CUŢITUL DE ARGINT,19,4,1935,S+P+1E,0,0,1993,Cristian BALAN,,U2
323.,Strada CUŢITUL DE ARGINT,28C,4,1927,S+P; S+P+1E,0,0,1993,Cristian BALAN,,U2
324.,Strada CUŢITUL DE ARGINT,62 - 62A,4,1940,S+P+2E,0,816,1993,Cristian BALAN,,U1
325.,"Strada CUŢITUL DE ARGINT
 (corp A+B+C)",64,4,1900,S+P,0,508,1993,Cristian BALAN,,U2
326.,Strada CUŢITUL DE ARGINT,68,4,1938,S+P+2E+Ma; S+P,0,533,1993,Cristian BALAN,,U2
327.,Strada CUŢITUL DE ARGINT,72A,4,1930,S+P+2E,0,244,1993,Cristian BALAN,,U1
328.,Strada CUŢITUL DE ARGINT,74,4,1938,S+P+1E,0,456,1993,Cristian BALAN,,U2
329.,Strada CUZA VODĂ,53,4,1900,S+P+1E; S+P+3E+Ma,0,"372, 286","1993, 1994","Traian POPP, Horia DUGAN",,U3
330.,Strada CUZA VODĂ,78,4,1910,S+P+1E,0,135,1993,Traian POPP,,U3
331.,Strada CUZA VODĂ,89,4,1932,S+P+3E,0,597,1994,Traian POPP,,U1
332.,Strada CUZA VODĂ,86,4,1900,S+P+1E; S+P,0,"144, 50",1993,Corneliu NICUT,,U2
333.,Strada CUZA VODĂ,93,4,1920,S+P,0,216,1993,Traian POPP,,U2. U3
334.,"Strada CUZA VODĂ
 (corp C + D + E)",98,4,1928,S+P+1E,0,140,1993,Traian POPP,,U3
335.,Soseaua COLENTINA (bloc S5),8,2,1967,S+P+10E,0,12.320,1993,Adina SIMION,,U3
336.,"Soseaua COLENTINA
 (bloc OD43)",37,2,1968,S+P+10E,44,3.025,1993,Mihai NAVODARIU,,U3
337.,Soseaua COLENTINA (bloc R11),51,2,1962,S+P+10E,88,6.820,1993,Adina SIMION,,U1
338.,Soseaua COTROCENI,9,6,1922,S+P+4E+Ma,0,1.341,1995,Mihai URSACHESCU,,U2
339.,Soseaua COTROCENI,18,6,1925,S+P+4E+Ma,0,1.393,1995,Mihai URSACHESCU,,U2
340.,Bulevardul DACIA,"32
 (2)",1,1912,S+P+3E+Ma,0,6.394,1996,Mihai URSACHESCU,,U2
341.,Bulevardul DACIA,"37
 (11)",1,1920,S+P+4E,0,987,1994,Mircea NEICU,,U2
342.,Bulevardul DACIA,"45
 (1A)",1,1940,S+P+7E,0,2.996,1993,Armand NEFIAN,,U2
343.,Bulevardul DACIA,"64
 (38)",1,1929,S+P+2E,0,628,1993,Eugeniu IORDACHESCU,,U2
344.,Bulevardul DACIA,80 (52A),2,1947,S+P+7E+Ma,0,0,1993,Mircea NEICU,,U2
345.,Bulevardul DACIA,"101
 (47)",2,1928,S+P+2E+Ma,7,921,1993,Stelian PICULESCU,,U2
346.,Bulevardul DACIA,"103
 (nr. vechi)",2,1935,S+P+4E,0,0,1993,Alexandru PROGRESEANU,,U2
347.,Bulevardul DACIA,103 (75A),2,1934,S+P+3E,0,0,1993,Dan POPESCU,,U3
348.,Bulevardul DACIA,"104
 (74)",2,1933,S+P+3E+Ma,0,0,1995,Radu AGENT,,U3
349.,Bulevardul DACIA,"114
 (84)",2,1936,S+P+4E+Ma,0,0,1993,Dan DUMITRESCU,,U3
350.,Bulevardul DACIA,"116
 (86)",2,1934,S+P+3E+Ma,0,0,1993,Dan DUMITRESCU,,U3
351.,Bulevardul DACIA,"131
 (101)",2,1928,S+P+2E+Ma,0,0,1993,Theodor MARIN,,U2
352.,Bulevardul DACIA,"149
 (119)",2,1920,S+P+2E; S+P+1E,0,0,1993,Alexandru PROGRESEANU,,U2
353.,Bulevardul DACIA,"153
 (123)",2,1888,S+P,0,0,1993,Constantin DALBAN,,U1
354.,"Bulevardul DACIA
 (corp A + B)","159
 (129)",2,1926; 1930,S+P; S+P+2E,0,0,1993,Alexandru PROGRESEANU,,U1
355.,Bulevardul DACIA (corp A + B),"160
 (130)",2,1924,S+P; S+P,0,0,1993,Constantin DALBAN,,U1
356.,Bulevardul DACIA,"168
 (138)",2,1930,S+P+3E+Ma,13,1.079,1993,Constantin ARIENESCU,,U2
357.,Bulevardul DACIA,"172
 (142)",2,1924,S+P+1E;S+P+2E,0,0,1993,Adina SIMION,,U3
358.,Strada DAVID PRAPORGESCU,29,2,1890,S+P+2E,0,270,1993,Dan POPESCU,,U2
359.,Aleea DEALUL MITROPOLIEI,5,4,1927,S+P+3E,0,840,1993,Alexandru BRANZEI,,U1
360.,Aleea DEALUL MITROPOLIEI,7,4,1896,S+P+3E,0,1.347,1993,Dan CAPATINA,,U2
361.,Aleea DEALUL MITROPOLIEI,11,4,1930,S+P+2E,0,1.040,1993,Alexandru BRANZEI,,U1
362.,Aleea DEALUL MITROPOLIEI,17,4,1923,S+P+1E+Ma,0,456,1993,Cristian BALAN,,U2
363.,Aleea DEALUL MITROPOLIEI,19,4,1926,S+P+2E+Ma,0,880,1993,Corneliu NICUT,,U2
364.,Strada DEJ,78,1,1945,S+P+1E,0,186,1993,Mircea MIRONESCU,,U1
365.,Strada DESPOT VODĂ,38,2,1900,S+P,0,0,1993,Constantin DALBAN,,Imobil propus pentru demolare
366.,Strada DIANEI,13,2,1925,S+P+2E,0,1.255,1993,Traian POPP,,U2
367.,Strada DIDIŢEL,14,4,1915,S+P+1E+Ma,0,310,1993,Traian POPP,,U2
368.,Strada DIDIŢEL,13,4,1920,S+P+1E,0,113,1993,Traian POPP,,U3
369.,Strada DIMITRIE BOLINTINEANU,2,3,1928,S+P+4E,0,1.045,1993,Niculae TUDOSE,,U2
370.,Strada DIMITRIE BOLINTINEANU,3,3,1949,S+P+7E+Ma,0,1.440,1994,Theodor MARIN,,U3
371.,Bulevardul DIMITRIE CANTEMIR,3,4,1962,S+P+10E,0,6.765,1996,Valentin GEORGESCU,,U3
372.,Bulevardul DIMITRIE CANTEMIR,4,4,1963,S+P+8E,0,4.887,1996,Alexandru BRANZEI,,U3
373.,Bulevardul DIMITRIE CANTEMIR,5,4,1962,S+P+10E,0,6.765,1996,Valentin GEORGESCU,,U3
374.,Bulevardul DIMITRIE CANTEMIR,9,4,1962,S+P+10E,0,6.765,1996,Valentin GEORGESCU,,U3
375.,Strada DIMITRIE GIURESCU,4,1,1930,S+P+2E+Ma,0,318,1993,Gabriel NICULESCU,,U2
376.,Strada DIMITRIE GIURESCU,7,1,1935,S+P+Mz+3E,0,920,1994,Dan POPESCU,,U2
377.,Strada DIMITRIE GIURESCU,9,1,1910,S+P+1E+Ma,0,408,1993,Gabriel NICULESCU,,U2
378.,Strada DIMITRIE GIURESCU,10,1,1900,S+P+1E+Ma,0,606,1993,Gabriel NICULESCU,,U2
379.,Strada DIMITRIE GUSTI,19,1,1929,S+P+1E,0,106,1993,Mircea PERJESCU,,U4
380.,Strada DIMITRIE ONCIUL,12,2,1934,S+P+3E,0,800,1993,Radu PETROVICI,,U2
381.,Strada DIMITRIE ONCIUL,16,2,1936,S+P+3E+Pod,0,843,1994,Mihai URSACHESCU,,U2
382.,Strada DIMITRIE ONCIUL,31,2,1900,S+P+Ma,0,260,1993,Traian POPP,,U3
383.,Strada DIMITRIE ORBESCU,8,2,1931,S+P+2E+Ma,0,0,1993,Leonid NEAGOE,,U3
384.,Strada DIMITRIE ORBESCU,11,2,1937,S+P+4E,0,0,1993,Mircea NEICU,,U3
385.,Strada DIMITRIE ORBESCU,12,2,1930,DS+P+1+M,6,943,1993,Mircea NEICU,,U3. U2
386.,Strada DIMITRIE RACOVIŢĂ,25,2,1938,S+P+3E,0,888,1993,Traian POPP,,U2
387.,Strada DIMITRIE RACOVIŢĂ,30A,2,1946,S+P+2E+Ma,0,485,1993,Mihai URSACHESCU,,U2
388.,Strada DIMITRIE RACOVIŢĂ,41,2,1936,S+P+5E,0,2.100,1993,Mircea CONDRUT,,U2
389.,Strada DIMITRIE SALMEN,20,2,1934,S+P+2E+Ma,0,1.240,1993,Dan POPESCU,,U1
390.,Strada DIMITRIE SALMEN,30,2,1934,S+P+3E; S+P+1E+Ma,0,"580, 536",1993,Dan POPESCU,,U1
391.,Bulevardul DINICU GOLESCU,1A,1,1930,S+Ds+P+3E,0,752,1993,Dan POPESCU,,U2
392.,Bulevardul DINICU GOLESCU,9,1,1920,S+P+2E; S+P+Mz+3E,0,"660, 243",1993,Mircea PERJESCU,,U2
393.,Strada DIONISIE LUPU,31,2,1931,S+P+4E,13,2.461,1993,Mircea NEICU,,U3
394.,Strada DIONISIE LUPU,74,1,1941,S+P+8E,36,303,1994,Dan POPESCU,,U2
395.,Strada DOAMNA GHICA,125,2,1923,S+P+1E; S+P,0,"130, 90",1993,Constantin DALBAN,,U1
396.,Strada DOAMNEI,1,3,1895,S+P+2E+Ma,0,5.040,1993,Voicu DORDEA,,U2
397.,Strada DOAMNEI,7,3,1910,S+P+1E,0,1.482,1993,Emilian ŢIŢARU,,U1
398.,Strada DOAMNEI,11,3,1912,S+P+1E,0,148,1993,Paul VERNESCU,,U1
399.,Strada DOAMNEI,21,3,1890,S+P+1E,0,916,1993,Voicu DORDEA,,U3
400.,Strada DOAMNEI,23,3,1884,S+P+1E+Ma,0,942,1993,Voicu DORDEA,,U3
401.,Strada DOAMNEI,27 - 29,3,1959; 1960,S+P+8E;S+P+6E; S+P+7E,0,"3.010, 2.600",1994,Dan POPESCU,,U2
402.,Strada DOBROGEI,12,1,1925,S+P+1E,0,130,1993,Nicolae ALEMAN,,U3
403.,Strada DOINA,1,5,1960,S+P+2E,0,0,1993,Constantin PAVEL,,U3
404.,Strada DOINA,2,5,1960,S+P+2E,0,0,1993,Constantin PAVEL,,U3
405.,Strada DOINA,3,5,1960,S+P+2E,0,0,1993,Constantin PAVEL,,U3
406.,Strada DOMNIŢA ANASTASIA,10,5,1935,S+P+6E,11,1.352,1992,Mihaela POPESCU,,U2
407.,Strada DOMNIŢA ANASTASIA,11,5,1890,S+P+2E,0,264,1995,Iorgu NICULA,,U1
408.,Strada DOMNIŢA ANASTASIA,17,5,1930,S+P+7E,0,1.730,1993;1995,Gabriel NICULESCU,,U3
409.,Strada DOMNIŢA ANCUTA,9,1,1920,S+P+1E+Ma,0,348,1993,Stelian PICULESCU,,U2
410.,Calea DOROBANŢILOR,51,1,1939,S+P+4E,0,1.375,1994,Mircea NEICU,,U1
411.,Calea DOROBANŢILOR,69,1,1937,S+P+2E+Ma,0,356,1994,Radu PETROVICI,,U3
412.,Calea DOROBANŢILOR,70,1,1912,S+P+1E+Ma,7,703,1993,Mircea NEICU,,U3
413.,Calea DOROBANŢILOR,75,1,1939,S+P+2E+Ma,0,727,1994,Adina SIMION,,U3
414.,Calea DOROBANŢILOR,134,1,1976,S+P+Mz+10E,0,6.010,1993,Mihai NAVODARIU,,U3
415.,Strada DRAGOŞ VODĂ,3,2,1932,S+P+2E+Ma,0,444,1993,Dan DUMITRESCU,,U3
416.,Strada DRISTORULUI,73,3,1940,S+P+1E+Ma,0,252,1993,Viorel CONSTANTINESCU,,U3
417.,Strada DRISTORULUI,104,3,1977,S+P+10E,0,7.021,1995,Dan CAPATINA,,U2. U3
418.,Strada DRUMEA RADULESCU,12,4,1900,S+P+1E+Ma,0,252,1993,Traian POPP,,U2
419.,Strada DRUMUL GĂZARULUI,25,4,1900,S+P,0,34,1993,Alexandru BRANZEI,,U3
420.,Strada DRUMUL MURGULUI,40,3,1965,S+P+10E,0,12.562,1996,Alexandrina PRETORIAN,,U3
421.,Strada DRUMUL TABEREI,59,6,1973,S+P+11E,0,4.664,1995,Constantin PAVEL,,U3
422.,Calea DUDEŞTI,37,3,1930,S+P+2E,0,0,1993,Dan POPESCU,,U2
423.,Calea DUDEŞTI,51,3,1900,S+P,0,0,1993,Mircea NEICU,,U3
424.,Calea DUDEŞTI,139,3,1930,S+P+2E,0,321,1993,Dan POPESCU,,U3
425.,Calea DUDEŞTI,141,3,1930,S+P+1E,0,159,1993,Dan POPESCU,,U2
